Tag,Explanation
Anal Insertable,A toy that goes in your butt. Flared base recommended!
Oral Insertable,A toy that goes in your mouth.
Vaginal Insertable,A toy that goes in your vagina.
Oversized Insertable,Insertable toys too big for comfort.
Two Insertables,Pairs of insertables used for simultaneous oral & anal.
Knotted Insertable,Insertable with a large knot you can safely insert.
Sleeve Toy,"Fleshlights, any ''toy'' you can use to stroke."
Plug,"Buttplugs, insertables with flared bases that you can keep in."
Condoms,Make sure you have several!
Gag,"Ballgags, socks, large rags, things that fill your mouth."
Ring Gag,Gags that allow mouth access.
Rubber Bands,Something elastic that can be snapped against you.
Nipple Clamps,Something that clamps onto your nipples and stays there.
Clothespins,Make sure you have several!
Vibrator,Any kind of vibrating device.
Vibrating Insertable,"Vibrating insertable devices, dildos, plugs etc."
Cane,A thin blunt stick for impact play (Requires the matching interaction in one of the Pain Kinks)
Whip,A single tailed lash for impact play (Requires the matching interaction in one of the Pain Kinks)
Paddle,A wide surface for impact play (Requires the matching interaction in one of the Pain Kinks)
Cock Ring,"A ring that can be worn around the cock, the balls or both."
Chastity Device,Device that prevents access to your genitals. Use Permanent Status to wear it for the session. Does NOT disable edging or endings - for that use No Touching. 
Permanent Marker,Any kind of long lasting marker.
Anal Beads,A string of connected beads that pop in and out of your butt.
Oil,A slick slatherable fluid you can apply to yourself.
Ice Cubes,The solid state of water. Make sure you have several!
Tape,The Handyman's secret weapon.
Rope,Tie yourself up.
Ankle Cuffs,Anything that connects your ankles together.
String,"Shoelaces, etc."
Straw,A drinking straw for breathplay.
Pen & Paper,Write lines.
Mirror,A reflective surface or selfie camera view.
Panties,"Underwear (perhaps dirty, not necessarily yours)"
Heels,Must be wearable for you.
VR Rhythm Games,VR game that has rhythm elements and lasts 3-4m per game.
Pacifier,Something you can suck on (used with ABDL)
Baby Bottle,A bottle with a top that can be sucked (used with ABDL)
Enema,Filling your colon with fluid and holding it in for a while. This DOES NOT give any instructions for the kind of cleaning you should be doing before a session - that remains your responsibility.
Figging,Peeled ginger root.
Syrup,A thick slatherable fluid you can apply to yourself.
Whipped Cream,Something edible you can draw on yourself with.
Dog Toy,"Dog toys, bones, etc."
BDSM Candle,Candles specifically made for wax play. Careful!
Ball Press,Device that constricts your balls and can be tightened or loosened.
Humbler,Device that restricts your movement by cuffing your balls.
Chopsticks,"Preferably attached, otherwise bring rubber bands."
Inflatable Gag,A gag that can be inflated.
Strapon,Must be wearable by you. Ideal for No Touching sessions.
Cumtube,Toys or tubes for fake-cum play.
Fucking Machine,"Dildo-based, must have speed settings."
Sybian,Must have power settings.
Handcuffs,"Metal, fuzzy, you name it."
Toothbrush,A dedicated toothbrush.. or not. (Requires the matching interaction in one of the Pain Kinks)
Hairbrush,More intense than a toothbrush. (Requires the matching interaction in one of the Pain Kinks)
Fork,More intense than a hairbrush. (Requires the matching interaction in one of the Pain Kinks)
Penis Pump,Pump up your penis.
Clit Pump,Pump up your clit.
Vagina Pump,Pump up your vagina.
Nipple Pump,Pump up your nipples.
Smothering,"Smothering, facesitting, and all kinds of shoving your face places.."
Farting,"Face-farting, gas clouds, butthole winks, and butt-in-face smothering. Use Low/Medium/High/Constant/Random Gas for pace. No Blackout Smothering keeps FaceSit from filling the lens. Pairs with Smothering and Butt Worship."
Burping,"She leans into the camera and burps in your face — mouth mist, jaw motion, FaceSit / boob-smother poses. Pair with Smothering for face-close burps."
Fart Torture,"Heavy fart-focus mode: floods the timed pool with gas-smother scenarios, hands-off humiliation, and denser face-fart FX. Pair with Farting + Smothering. For less edging, also turn on Disable Edging / No Intro Edging in Edging & Ruining."
No Blackout Smothering,"While FaceSit / ButtFaceSit plays, sits her slightly farther from the lens so the view does not fill/black out. Uses stock poses (safe). Tune SmotherBodyPull in BepInEx config."
Low Gas,"Burst pace during gas facesit tasks: sparse (~16–35s between). Pick one Gas toggle only."
Medium Gas,"Burst pace during gas facesit tasks: realistic (~9–22s between). Default. Pick one Gas toggle only."
High Gas,"Burst pace during gas facesit tasks: busy (~4–9s between). Pick one Gas toggle only."
Constant Gas,"Burst pace during gas facesit tasks: near-constant bursts. Pick one Gas toggle only."
Random Gas,"Burst pace during gas facesit tasks: randomly shifts Low/Medium/High/Constant over the session. Pick one Gas toggle only."
Headplay,Stimulation focused around the head of your dick.
Anal,(Player) Anal Play
Oral,(Player) Sucking & Deepthroating
Nipples,"Pulling/twisting nipples, rubbing, clamps pulling, etc."
Frenulum,The sensitive part under the head of your penis.
Taint,The area between your genitalia and anus.
CBT: Balls,"Balls Torture (Slaps, flicks, etc)"
CBT: Cock,"Cock Torture (Slaps, flicks, etc)"
Butt Worship,Focus on her butt.
Breast Worship,Focus on her breasts.
Crotch Worship,Focus on her crotch.
Belly Worship,Focus on her belly.
Thigh Worship,Focus on her thighs.
Feet,Focus on her feet.
Armpit,Focus on her armpits.
Service Acts,"(Player) Assjobs, thighjobs, etc. Requires an insertable."
Clothing,Tasks that involve wearing things or your clothed state (Naked etc).
Workout,Do excersizes for her.
Really Forced Orgasms,"Prevents you from disobeying during ""Forced Orgasm"" sessions."
PCEI,Precum Eating Instructions.
Humping,Humping nearby objects or surfaces
Pet Play,Being Succu-chan's little pet.
Exhibitionism,Risk other people seeing you.
Recording,Tasks that involve recording yourself in some way.
Degradation,She will use degrading dialogue and make you do humiliating things.
Filthiness,"""Disgusting"" or dirty acts."
Feminization,Making you act feminine.
Piss Drinking,Drinking your own pee.
Watersports,"Your watersports — standing self-piss when she orders it. Not foot/face or FaceSit. For her peeing on your face, use Her Watersports + Smothering instead."
ABDL,(Adult Baby / Diaper Lover)
Selfies,Tasks that involve taking pictures during sessions.
No Counted Tasks,Disables Counted Tasks.
Punishment Counted,"Gives counted tasks as punishment. Overrides ""No Counted Tasks""."
Punishment Positions,Positions are only given during bad moods.
No Metronome,Disables Metronome Tasks.
No Warmup,Removes the pleasurable instructions in the intro to sessions.
No Holidays,Disables holiday events.
No Begging,Removes begging prompts from the ending.
Painless,Fully removes pain related instructions. Note that this limits variety.
Both Sexes,Enables most tasks exclusively offered to the opposite genitals.
Rhythm Punishment,Punishments are rhythm events.
No Rhythm Edging,Disables the edging part of Rhythm Events.
No Oral Fingering,Only allows Oral with Insertables.
No Anal Fingering,Only allows Anal with Insertables.
Soft Touch,Removes most fast/tight/rough pleasure tasks.
No Counting,Prevents her from asking you to count.
Never CEI,"Disables all mentions of CEI in-game, unless enabled."
Soft Time Limit,Sessions can get extended beyond their time limit.
Untimed,Counted tasks are no longer time-checked.
Serious,Prevents her from being mischievous.
Yandere,Succu-chan becomes obsessed and possessive.
Vampire,Gives Succu-chan longer fangs and vampiric tendencies.
Commanding,"Tasks are almost always given in a commanding tone, regardless of her mood."
Demeaning,Pronouns are always replaced by 'It' when using a sub name.
Always Pronouns,Prevents her from using objectifying pronouns when mad.
Endless Forced Orgasms,Forced Orgasms sessions can no longer time out.
Forced Orgasms Ending Override,A Forced Orgasms session's final ending is always a regular release.
Her Stakes,Succu-chan doesn't give you a choice of stakes.
Punishment Commandments,You will only be given (mandatory) commandments on bad endings.
Always Bad Endings,Forces all endings to be punishments. Overrides Good/Random
Always Good Endings,Forces all endings to be rewards. Overrides Random
Random Endings,Endings no longer depend on your dedication during the session.
No Safeword,Disables the safeword button in the in-game menu.
No Decisions,Disables all decisions besides outfit preference.
No ASMR,Disables ASMR-style events.
Edge Punishment,Earning a punishment will also lead to edging.
No Touching,"Blocks interacting with penis, clit and vagina, prevents edging and prevents endings (guarenteed denial). You want to cum? Turn this off."
No Punishments,Turns most punishments into neutral tasks.
Harsh Punishments,Significantly worsens punishments.
Short Fuse,Succu-chan gets furious easily.
Sadistic Mode,Succu-chan will randomly punish you.. Just for fun!
Devious,Mischievous guarantees punishments.
Merciless,[NAMEREPLACEMENT] never shows mercy.
Ruthless,Succu-chan feels ruthlessly teasing. Fairness is off the table. (Pleased always becomes Mischievous)
Strict,[NAMEREPLACEMENT] is significantly less lenient to brats.
Pretending,[NAMEREPLACEMENT] will drop the act at the end of sessions.
Masochist Mode,Rewards are now punishments. Punishments are now timeouts.
No Stakes,Disables session stakes.
No Habit Requests,She won't ask you for additional habits.
Hidden Timers,Timed tasks now always hide the timer.
Hidden Mood,Hides Succu-chan's mood from you. Read her expressions!
Hide Archetype,Hides the Reward/Punishments popups.
Polyamory,Succu-chan no longer expects you to be her exclusive toy.
Independent,Succu-chan will be satisfied even if you don't visit her frequently.
Themed Session,"A regular session, but your succubus will focus on a theme for the entire session. Requires the appropriate toggles to support this theme."
Rhythm Session,A session primarily composed of rhythm events. Make sure you've set up your rhythm event settings correctly!
Taskmaster Session,The lewdest to-do list you can get! Ask your succubus to make you perform various tasks. Options are available to make it non-sexual.
Toys Session,A session exclusively using bluetooth toys! Allow your succubus to toy with you fully.
Training Session,Train various aspects of your kinky life with your succubus! A perfect warmup to make your next session harsher.
Ask your succubus to choose session length,Your succubus will choose the session's length from all available options depending on your current situation.
Quickies,A quick session that allows you to play with your succubus when time is short. She expects you to come prepared.
Regular Quickie,A quick session involving edging.
Free Quickie,Your succubus will watch you get off your own way.
Rhythm Quickie,A quick rhythm event that will last until you finish.
Praise,She will praise you for your obediance.
Positioning,Strike a pose to show off your statuesque physique.
Events,Events too powerful for regular tasks to contain!
Endings,Choose (or don't) just how surprising the end of your session can be.
Post-Oops,"Yup, that's me. You're probably wondering how I ended up in this situation."
Naming,The fun kind of name calling.
Chastity,Don't want to cum? Succu-chan would be (perhaps a bit too) pleased to oblige you. Does not require a chastity device!
Collaring,Wear a collar for Succu-chan! A classic of BDSM presented here for the discerning player.
Bluetooth Toys,Let her play with you directly through magic! The magic of electromagnetic waves and telecommunications technology.
Financial Domination,Succu-chan wants tribute! Can be used for FREE. All deposits are unenforced.
Scheduling,Succu-chan is busy too! Give her your availability so she can schedule your next session.
Duties,Just because the session ends doesn't mean the tasks do. Succu-chan wants you to complete these between sessions.
Commandments,Always keep Succu-chan on your mind by modifying your behavior until your next session.
Habits,Succu-chan wants to help you maintain good habits. Or lewd habits. Lewd is good right? Right.
Player Outfits,Don't be a slob. Get dressed up for Succu-chan.
Player Accessories,Accessorize your outfit for Succu-chan. You can even accessorize your birthday suit if you want.
Difficulties,How hard do you like it?
Stroking Types,Tell Succu-chan what feels good for you.
One-hand Mode,Disables tasks that require two hands.
Silent Mode,Disables loud tasks.
No Legs,Lets her know your legs are occupied.
No Anal,Lets her know your butt is occupied.
No Stroking,Lets her know your dick is occupied.
Edging Minimum Time Required,The minimum session time before she will start asking you to edge. Using Edge Stop will also let her know you're ready to start edging.
Timed Task Max Length,The maximum duration for timed tasks.
Counted Task Max Count,The maximum number for counted tasks. (Taunting not included)
Ending Her Preference,Let her choose your ending based on how sadistic she feels today. (Does not include CEI)
Easy Endings,Succu-chan will be easier on you during the ending.
No Teasing,Removes the teasing segment from the ending.
Orgasm After Ruin,A ruined orgasm ending will be followed by another ending with a regular release.
No Fake Endings,Prevents her from faking-out the ending.
Simple CEI,"Gives simple, direct cum eating instructions with no followups. Overrides Beginner CEI. A simple meal without the bells and whistles."
Beginner CEI,"Gives easy, low commitment cum eating instructions with no followups. Kind of like a free sample."
Post-Ruin CEI,Only be instructed to eat your cum after a ruined orgasm.
Witch,Prepare yourself for a hex of a good time! Complete with wand and witch hat.
Require Daily Training,Succu-chan will expect you to show up for training every day.
In-training Edging,Take a break by edging.
Degradation Training,Repeat degrading phrases.
Obedience Training,Reinforce your obedience.
Plugged While Training,Wear a buttplug during training. Begins after Anal training if that is enabled.
Workout Training,Set your workout routine. She will choose one area to focus on. (Upper Body/Lower Body/Core)
Anal Training,Train your ass. Requires at least one of the following toggles.
(Anal) Insertion Training,Practice inserting things into your butt.
(Anal) Knotting Training,Practice taking the knot on your toy.
(Anal) Plug Insertion Training,Practice with your buttplug.
(Anal) Finger Stretching,Stretch your asshole with your fingers.
(Anal) Thrusting Machine,Practice getting fucked in the ass by a machine.
Oral Training,Train your ability to get things into your mouth. Requires at least one of the following toggles.
(Oral) Deepthroat Training,Practice holding a toy deep in your throat.
(Oral) Throatfuck Training,Practice repeatedly fucking your throat with a toy.
(Oral) Thrusting Machine,Practice getting fucked in the face by a machine.
Breathplay Training,Improve your lung capacity.
Kegels Training,Train your kegel muscles.
(Kegels) Positioning,Practice doing kegels in various positions. Uses the options you set in Positioning.
Disable Fadeout,Disable instructions fading out after 10 seconds.
Single Tap Button,Button input is accepted even when instructions are faded out.
Timer Fadeout,The timer will also fade out after 10 seconds.
No Button Labels,Removes the keybind labels on buttons.
No Rhythm UI,Removes the shrinking ring UI from rhythm events.
Darker Text Backgrounds,Darkens the background on the instruction text to provide more contrast.
Notch Adjust,Adjustment for notched mobile devices.
Disable Debug,Disables the debug text at the top of the screen. If you report a bug with this on we will be mad.
No Post Processing,Affects the colors of the game.
No Background,Removes the environmental background.
FPS Counter,Adds an FPS counter.
No Bloom,Disables bloom.
No Particles,Disables particles. Requires a restart to affect the main menu.
Devotion,Increase your devotion by enabling settings marked by this icon.
No Penetration,Lets her know your vagina is occupied.
No Clit,Lets her know your clit is occupied.
Vaginal Penetration,Tell Succu-chan what feels good for your vagina.
Clit Interactions,Tell Succu-chan what feels good for your clit.
No Plugged Interactions,Plug interactions will not be given while already plugged.
Only Plugged Interactions,Plug interactions will only be given while already plugged.
Small Plug,A plug that you can easily insert
Medium Plug,A plug that takes some work to insert
Large Plug,A plug that takes a lot of work to insert
Vibrating Plug,A plug that vibrates
Tail Plug,A plug with an animal tail on the end
Inflatable Plug,A plug that can be inflated
Small Anal Insertable,An insertable that you can easily fit in your ass
Medium Anal Insertable,An insertable that takes some work to fit in your ass
Large Anal Insertable,An insertable that is difficult to fit in your ass
Vibrating Anal Insertable,An insertable that vibrates and goes in your ass
Knotted Anal Insertable,An insertable with a thick knot that goes in your ass
Small Vaginal Insertable,An insertable that you can easily fit in your vagina
Medium Vaginal Insertable,An insertable that takes some work to fit in your vagina
Large Vaginal Insertable,An insertable that is difficult to fit in your vagina
Vibrating Vaginal Insertable,An insertable that vibrates and goes in your vagina
Knotted Vaginal Insertable,An insertable with a thick knot that goes in your vagina
Service Toy,"A toy for simulating service acts that is typically penis shaped (Required for Service Kinks, does nothing on its own)"
Service Sleeve,"A toy for simulating service acts typically vagina or anus shaped (Required for the Cunnilingus Kink, does nothing on its own)"
Crop,A thin stick with a flexible end for impact play (Requires the matching interaction in one of the Pain Kinks)
Flogger,A multi-tailed lash for impact play (Requires the matching interaction in one of the Pain Kinks)
Poker,A pointed object (Requires the matching interaction in one of the Pain Kinks)
Pinwheel,A rollable device with pointed spokes (Requires the matching interaction in one of the Pain Kinks)
Zapper,Something you can zap yourself with (Requires the matching interaction in one of the Pain Kinks)
Footwear,Not for you to wear
Chew Toy,"Toys for chewing on, typically for pets"
Diaper,Make sure it's in your size (used with ABDL)
Penis Stimulation,Stroking your penis
Palming,Rubbing the head of the penis with the flat palm of your hand
Frenulum Stimulation,Located on the bottom of the penis just below the head
Balls Stimulation,You don't have to be in the circus to juggle these balls
Clitoral Stimulation,Playing with your clit
Vaginal Fingering,Use fingers around and in your vagina
Anal Fingering,Use fingers around and in your butt
Nipple Stimulation,Pleasently tease your nipples
Breast Stimulation,Nicely touch your breasts
Caress,Touching yourself in a generally soothing manner
Cock Torture,"Shockingly, this is all about hurting your cock (Implement related interactions require enabling the matching Toy)"
