EventID,EventNames,EventRequiredFeatures,EventText,EventPreRequirements,EventMultiplier,EventPossibleScenes,EventForcedEmotion,EventClothed,EventRewardPunishment,EventAppliedModifiers,EventIncompatibleModifiers,EventRequiredModifiers,EventToggleDiff,EventKink,EventIncompatibleLayers,EventCountedPossible
ID1,DefaultPunishment,FALLBACK,[SUCCUNAME] #V1#orders you to_commands you to_demands you#V1# #V2#wait_keep your hands off_clear your mind#V2#,,1,Special_Animate_Angry,,No,Punishment,,,,,0,All,
ID2,DefaultReward,,[PREAMBLE/DOMNAME] [INTERACTREWARD],,5,Special_Animate_SelfPleasure1,Pleasing,No,Reward,,,,,0,All,
ID3,PenisStimulationInteraction,Penis Stimulation,[PREAMBLE/DOMNAME] [INTERACTPENISSTIMULATION],,5,"Standing, TimedAnimations",,Yes,,,PenisBusy,,,0,"Penis, Sleeve Toy, Humping",Yes
ID4,FrenulumStimulationInteraction,Frenulum Stimulation,[PREAMBLE/DOMNAME] [INTERACTFRENULUMSTIMULATION],,2,"Standing, TimedAnimations",,Yes,,,PenisBusy,,,20,"Penis, Sleeve Toy, Humping",Yes
ID5,PalmingInteraction,Palming,[PREAMBLE/DOMNAME] [INTERACTPALMING],,2,"Standing, TimedAnimations",,Yes,,,PenisBusy,,,20,"Palming, Sleeve Toy, Humping",Yes
ID6,BallsStimulationInteraction,Balls Stimulation,[PREAMBLE/DOMNAME] [INTERACTBALLSSTIMULATION],,2,"Standing, TimedAnimations",,Yes,,,BallsBusy,,,0,"Balls, Humping",Yes
ID7,ClitoralStimulationInteraction,Clitoral Stimulation,[PREAMBLE/DOMNAME] [INTERACTCLITORALSTIMULATION],,5,"Standing, TimedAnimations",,Yes,,,ClitBusy,,,0,"Clit, Humping",Yes
ID8,VaginalFingeringInteraction,Vaginal Fingering,[PREAMBLE/DOMNAME] [INTERACTVAGINALFINGERING],,5,"Standing, TimedAnimations",,Yes,,,VaginalBusy,,Vaginal_1_0,0,"Vaginal, Humping",Yes
ID9,AnalFingeringInteraction,analfingering,[PREAMBLE/DOMNAME] [INTERACTANALFINGERING],ReadyStep,2,"Standing, TimedAnimations",,Yes,,,AnalBusy,,Anal_1_0,40,Anal,Yes
ID10,NippleStimulationInteraction,Nipple Stimulation,[PREAMBLE/DOMNAME] [INTERACTNIPPLESTIMULATION],,3,"Standing, TimedAnimations",,Yes,,,NipplesBusy,,,20,Nipples,Yes
ID11,BreastStimulationInteraction,Breast Stimulation,[PREAMBLE/DOMNAME] [INTERACTBREASTSTIMULATION],,2,"Standing, TimedAnimations",,Yes,,,BreastsBusy,,,20,Breasts,Yes
ID12,PainInteraction,Pain,[PREAMBLE/DOMNAME] [INTERACTPAIN],ReadyStep,5,"Standing, TimedAnimations",,Yes,Punishment,,,,Pain_1_0,40,Pain,Yes
ID13,CockTortureInteraction,CBT: Cock,[PREAMBLE/DOMNAME] [INTERACTCBTCOCK],ReadyStep,2,"Standing, TimedAnimations",,Yes,Punishment,,PenisBusy,,Pain_1_0,60,"Pain, Penis, Palming, Sleeve Toy, Humping",Yes
ID14,BallsTortureInteraction,CBT: Balls,[PREAMBLE/DOMNAME] [INTERACTCBTBALLS],ReadyStep,4,"Standing, TimedAnimations",,Yes,Punishment,,BallsBusy,,Pain_1_0,60,"Pain, Balls, Humping",Yes
ID15,Clit&VaginaTortureInteraction,Clit & Vagina Torture,[PREAMBLE/DOMNAME] [INTERACTCVT],ReadyStep,3,"Standing, TimedAnimations",,Yes,Punishment,,"ClitBusy, VaginalBusy",,Pain_1_0,60,"Pain, Clit, Vaginal, Humping",Yes
ID16,NippleTortureInteraction,Nipple Torture,[PREAMBLE/DOMNAME] [INTERACTNIPPLETORTURE],ReadyStep,4,"Standing, TimedAnimations",,Yes,Punishment,,NipplesBusy,,Pain_1_0,60,"Pain, Nipples",Yes
ID17,BreastTortureInteraction,Breast Torture,[PREAMBLE/DOMNAME] [INTERACTBREASTTORTURE],ReadyStep,2,"Standing, TimedAnimations",,Yes,Punishment,,BreastsBusy,,Pain_1_0,60,"Pain, Breasts",Yes
ID18,VibratorInteraction,Vibrator,[PREAMBLE/DOMNAME] [INTERACTVIBRATOR],ReadyStep,5,"Standing, TimedAnimations",,Yes,,,,,,0,Vibrator,Yes
ID19,MassageGunInteraction,Massage Gun,[PREAMBLE/DOMNAME] [INTERACTMASSAGEGUN],ReadyStep,2,"Standing, TimedAnimations",,Yes,,,,,,40,Massage Gun,Yes
ID20,SleeveToyInteraction,Sleeve Toy,[PREAMBLE/DOMNAME] [INTERACTSLEEVETOY],ReadyStep,5,"Standing, TimedAnimations",,Yes,,,PenisBusy,,,0,"Sleeve Toy, Service Sleeve, Penis, Palming, Humping",Yes
ID21,ChastityDeviceInteraction,Chastity Device,[PREAMBLE/DOMNAME] [INTERACTCHASTITYDEVICE],ReadyStep,5,"Standing, TimedAnimations",,Yes,,,,ChastityDevice,,60,"Chastity Device, Vibrator",Yes
ID22,SmallAnalInsertableInteraction,smallanalinsertable,[PREAMBLE/DOMNAME] [INTERACTSMALLANALINSERTABLE],ReadyStep,5,"Standing, TimedAnimations",,Yes,,,AnalBusy,,Anal_1_0,40,Anal,Yes
ID23,MediumAnalInsertableInteraction,mediumanalinsertable,[PREAMBLE/DOMNAME] [INTERACTMEDIUMANALINSERTABLE],ReadyStep,4,"Standing, TimedAnimations",,Yes,,,AnalBusy,,Anal_1_2,60,Anal,Yes
ID24,LargeAnalInsertableInteraction,largeanalinsertable,[PREAMBLE/DOMNAME] [INTERACTLARGEANALINSERTABLE],ReadyStep,3,"Standing, TimedAnimations",,Yes,,,AnalBusy,,Anal_1_3,80,Anal,Yes
ID25,VibratingAnalInsertableInteraction,vibratinganalinsertable,[PREAMBLE/DOMNAME] [INTERACTVIBRATINGANALINSERTABLE],ReadyStep,5,"Standing, TimedAnimations",,Yes,,,AnalBusy,,Anal_1_0,40,Anal,Yes
ID26,KnottedAnalInsertableInteraction,knottedanalinsertable,[PREAMBLE/DOMNAME] [INTERACTKNOTTEDANALINSERTABLE],ReadyStep,3,"Standing, TimedAnimations",,Yes,,,AnalBusy,,Anal_1_3,80,Anal,Yes
ID27,SmallPlugInteractionNotPlugged,smallplug,[PREAMBLE/DOMNAME] [INTERACTSMALLPLUG],ReadyStep,4,"Standing, TimedAnimations",,Yes,,,"AnalBusy, NoNotPluggedInteractions",,Anal_1_0,40,"Plug, Anal",Yes
ID28,MediumPlugInteractionNotPlugged,mediumplug,[PREAMBLE/DOMNAME] [INTERACTMEDIUMPLUG],ReadyStep,3,"Standing, TimedAnimations",,Yes,,,"AnalBusy, NoNotPluggedInteractions",,Anal_1_2,60,"Plug, Anal",Yes
ID29,LargePlugInteractionNotPlugged,largeplug,[PREAMBLE/DOMNAME] [INTERACTLARGEPLUG],ReadyStep,2,"Standing, TimedAnimations",,Yes,,,"AnalBusy, NoNotPluggedInteractions",,Anal_1_3,80,"Plug, Anal",Yes
ID30,VibratingPlugInteractionNotPlugged,vibratingplug,[PREAMBLE/DOMNAME] [INTERACTVIBRATINGPLUG],ReadyStep,4,"Standing, TimedAnimations",,Yes,,,"AnalBusy, NoNotPluggedInteractions",,Anal_1_0,40,"Plug, Anal",Yes
ID31,TailPlugInteractionNotPlugged,tailplug,[PREAMBLE/DOMNAME] [INTERACTTAILPLUG],ReadyStep,4,"Standing, TimedAnimations",,Yes,,,"AnalBusy, NoNotPluggedInteractions",,Anal_1_0,40,"Plug, Anal",Yes
ID32,InflatablePlugInteractionNotPlugged,inflatableplug,[PREAMBLE/DOMNAME] [INTERACTINFLATABLEPLUG],ReadyStep,2,"Standing, TimedAnimations",,Yes,,,"AnalBusy, NoNotPluggedInteractions",,Anal_1_1,60,"Plug, Anal",Yes
ID33,SmallPlugInteractionPlugged,smallplug,[PREAMBLE/DOMNAME] [INTERACTSMALLPLUG],,4,"Standing, TimedAnimations",,Yes,,,NoPluggedInteractions,Small Plug,Anal_1_0,40,"Plug, Anal",Yes
ID34,MediumPlugInteractionPlugged,mediumplug,[PREAMBLE/DOMNAME] [INTERACTMEDIUMPLUG],,3,"Standing, TimedAnimations",,Yes,,,NoPluggedInteractions,Medium Plug,Anal_1_2,60,"Plug, Anal",Yes
ID35,LargePlugInteractionPlugged,largeplug,[PREAMBLE/DOMNAME] [INTERACTLARGEPLUG],,2,"Standing, TimedAnimations",,Yes,,,NoPluggedInteractions,Large Plug,Anal_1_3,80,"Plug, Anal",Yes
ID36,VibratingPlugInteractionPlugged,vibratingplug,[PREAMBLE/DOMNAME] [INTERACTVIBRATINGPLUG],,4,"Standing, TimedAnimations",,Yes,,,NoPluggedInteractions,Vibrating Plug,Anal_1_0,40,"Plug, Anal",Yes
ID37,TailPlugInteractionPlugged,tailplug,[PREAMBLE/DOMNAME] [INTERACTTAILPLUG],,4,"Standing, TimedAnimations",,Yes,,,NoPluggedInteractions,Tail Plug,Anal_1_0,40,"Plug, Anal",Yes
ID38,InflatablePlugInteractionPlugged,inflatableplug,[PREAMBLE/DOMNAME] [INTERACTINFLATABLEPLUG],,2,"Standing, TimedAnimations",,Yes,,,NoPluggedInteractions,Inflatable Plug,Anal_1_1,60,"Plug, Anal",Yes
ID39,SmallVaginalInsertableInteraction,smallvaginalinsertable,[PREAMBLE/DOMNAME] [INTERACTSMALLVAGINALINSERTABLE],ReadyStep,5,"Standing, TimedAnimations",,Yes,,,VaginalBusy,,Vaginal_1_0,0,"Vaginal, Humping",Yes
