Flag,Phrase,FlagName,CategoryNumber,ID,RequiredFlags,IncompatibleStatus,IncompatibleUsage,RelatedFlag,RequiredDifficulty,Mandatory,CategoryName,CategoryTextTag,LayerType,ToyUsed,RequiredStatus,RequiresReadyStep,InteractionDefault,UrgeDisabled,MinimumTime,Kink,BasePleasureIntensity,LayerPleasureIntensity
DickstrokingSpeedDefault,,Penis Stimulation,1,0,Penis Stimulation,PenisBusy,,,,,Speed,[INTERACTPENISSTIMULATION],Penis,,,,Yes,,,0,-1,-1
DickstrokingSpeedFast,<b>quickly</b>,Penis Stimulation,1,1,Penis Stimulation,PenisBusy,,,,,Speed,[INTERACTPENISSTIMULATION],Penis,,,,Yes,,,0,3,3
DickstrokingSpeedSlow,<b>slowly</b>,Penis Stimulation,1,2,Penis Stimulation,PenisBusy,,,,,Speed,[INTERACTPENISSTIMULATION],Penis,,,,Yes,,,0,0,0
DickstrokingDepthDefault,<b>stroke</b> [ITS/YOUR/SUBNAME] <b>dick</b>,Penis Stimulation,2,0,Penis Stimulation,PenisBusy,,,,M,Depth,[INTERACTPENISSTIMULATION],Penis,,,,Yes,,,0,-1,-1
DickstrokingDepthHead,<b>stroke</b> the <b>head</b> of [ITS/YOUR/SUBNAME] <b>dick</b>,Penis Stimulation,2,1,Penis Stimulation,PenisBusy,DickHead,,,,Depth,[INTERACTPENISSTIMULATION],Penis,,,,Yes,,,0,3,3
DickstrokingDepthShaft,<b>stroke</b> the <b>shaft</b> of [ITS/YOUR/SUBNAME] <b>dick</b>,Penis Stimulation,2,2,Penis Stimulation,PenisBusy,DickShaft,,,,Depth,[INTERACTPENISSTIMULATION],Penis,,,,Yes,,,0,1,1
DickstrokingDepthFull,<b>stroke</b> the <b>full length</b> of [ITS/YOUR/SUBNAME] <b>dick</b>,Penis Stimulation,2,3,Penis Stimulation,PenisBusy,"DickHead, DickShaft",,,,Depth,[INTERACTPENISSTIMULATION],Penis,,,,Yes,,,0,2,2
DickstrokingDepthGeneric,<b>stroke</b> [ITS/YOUR/SUBNAME] <b>dick</b>,Penis Stimulation,2,4,Penis Stimulation,PenisBusy,,,,,Depth,[INTERACTPENISSTIMULATION],Penis,,,,Yes,,,0,2,2
DickstrokingTypeDefault,,Penis Stimulation,3,0,Penis Stimulation,PenisBusy,,,,,Type,[INTERACTPENISSTIMULATION],Penis,,,,Yes,,,0,-1,-1
DickstrokingTypeLoose,<b>loosely</b>,Penis Stimulation,3,1,Penis Stimulation,PenisBusy,,,,,Type,[INTERACTPENISSTIMULATION],Penis,,,,Yes,,,0,0,0
DickstrokingTypeTight,<b>tightly</b>,Penis Stimulation,3,2,Penis Stimulation,PenisBusy,,,,,Type,[INTERACTPENISSTIMULATION],Penis,,,,Yes,,,0,2,2
DickstrokingTypeRough,<b>roughly</b>,Penis Stimulation,3,3,Penis Stimulation,PenisBusy,,,,,Type,[INTERACTPENISSTIMULATION],Penis,,,,Yes,,,0,2,2
DickstrokingVariantDefault,,Penis Stimulation,4,0,Penis Stimulation,PenisBusy,,,,,Variant,[INTERACTPENISSTIMULATION],Penis,,,,Yes,,,0,-1,-1
DickstrokingVariantTwisting,using <b>twisting motions</b>,Penis Stimulation,4,1,Penis Stimulation,PenisBusy,,,,,Variant,[INTERACTPENISSTIMULATION],Penis,,,,Yes,,,0,1,1
DickstrokingVariantOverhand,with an <b>overhand grip</b>,Penis Stimulation,4,2,Penis Stimulation,PenisBusy,,,,,Variant,[INTERACTPENISSTIMULATION],Penis,,,,Yes,,,0,1,1
DickstrokingVariantRing,with [ITS/YOUR/THEIR] fingers <b>forming a ring</b>,Penis Stimulation,4,3,Penis Stimulation,PenisBusy,,,,,Variant,[INTERACTPENISSTIMULATION],Penis,,,,,,,0,1,1
DickstrokingVariantFingertip,using [ITS/YOUR/THEIR] <b>fingertips</b>,Penis Stimulation,4,4,Penis Stimulation,PenisBusy,,,,,Variant,[INTERACTPENISSTIMULATION],Penis,,,,,,,0,0,0
DickstrokingVariantOffTheEnd,with [ITS/YOUR/THEIR] fingers <b>pulling off with each stroke</b>,Penis Stimulation,4,5,Penis Stimulation,PenisBusy,,,,,Variant,[INTERACTPENISSTIMULATION],Penis,,,,,,,0,1,1
DickstrokingVariantTwoFingers,with only <b>two fingers</b>,Penis Stimulation,4,6,Penis Stimulation,PenisBusy,,,,,Variant,[INTERACTPENISSTIMULATION],Penis,,,,,,,0,0,0
FrenulumSpeedDefault,,Frenulum Stimulation,1,0,Frenulum Stimulation,PenisBusy,,,,,Speed,[INTERACTFRENULUMSTIMULATION],Penis,,,,Yes,,,20,-1,-1
FrenulumSpeedFast,<b>quickly</b>,Frenulum Stimulation,1,1,Frenulum Stimulation,PenisBusy,,,,,Speed,[INTERACTFRENULUMSTIMULATION],Penis,,,,Yes,,,20,3,3
FrenulumSpeedSlow,<b>slowly</b>,Frenulum Stimulation,1,2,Frenulum Stimulation,PenisBusy,,,,,Speed,[INTERACTFRENULUMSTIMULATION],Penis,,,,Yes,,,20,0,0
FrenulumVariantDefault,<b>play with</b> [ITS/YOUR/SUBNAME] <b>frenulum</b>,Frenulum Stimulation,2,0,Frenulum Stimulation,PenisBusy,DickHead,,,M,Variant,[INTERACTFRENULUMSTIMULATION],Penis,,,,Yes,,,20,-1,-1
FrenulumVariantCircularMotion,<b>rub</b> [ITS/YOUR/SUBNAME] </b>frenulum</b> with <b>circular motions</b>,Frenulum Stimulation,2,1,Frenulum Stimulation,PenisBusy,DickHead,,,,Variant,[INTERACTFRENULUMSTIMULATION],Penis,,,,Yes,,,20,1,1
FrenulumVariantRubBackAndForth,<b>rub</b> [ITS/YOUR/SUBNAME] <b>frenulum side to side</b>,Frenulum Stimulation,2,2,Frenulum Stimulation,PenisBusy,DickHead,,,,Variant,[INTERACTFRENULUMSTIMULATION],Penis,,,,Yes,,,20,1,1
FrenulumVariantRubFrontAndBack,<b>rub</b> [ITS/YOUR/SUBNAME] <b>frenulum up and down</b>,Frenulum Stimulation,2,3,Frenulum Stimulation,PenisBusy,DickHead,,,,Variant,[INTERACTFRENULUMSTIMULATION],Penis,,,,Yes,,,20,1,1
